state,x,y
Alabama,123,-77
Alaska,-204,-170
Arizona,-203,-40
Arkansas,40,-53
California,-315,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,210,-145
Georgia,182,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,90,37
Indiana,120,39
Iowa,38,65
Kansas,-17,5
Kentucky,130,-10
Louisiana,50,-125
Maine,315,164
Maryland,288,27
Massachusetts,312,112
Michigan,135,100
Minnesota,10,135
Mississippi,90,-78
Missouri,40,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-145,-43
New York,236,100
North Carolina,205,-25
North Dakota,-65,158
Ohio,176,52
Oklahoma,-15,-41
Oregon,-278,138
Pennsylvania,210,65
Rhode Island,318,94
South Carolina,210,-60
South Dakota,-60,109
Tennessee,120,-34
Texas,-38,-106
Utah,-189,34
Vermont,260,154
Virginia,230,10
Washington,-277,193
West Virginia,200,20
Wisconsin,60,113
Wyoming,-134,90
